,feicao_id,name,operador,titularida,categoria,tipo_grupo,tipo,cadastro,sigla_esta,nome_bacia,nome_bloco,sigla_camp,nome_campo,ambiente,ogr_fid,pos_anp,reclassifi,situacao,dat_inicio,dat_termin,dat_conclu,lat_4c,long_4c,latitude,longitude,datum_hori,tipo_coord,direcao,prof_vert,prof_sond,prof_medid,ref_profun,mesa_rotat,cota_altim,lamina_dag,datum_vert,uni_estrat,geo_grup_f,geo_form_f,geo_memb_f,cdpe,agp,pc,pag,p_conven,dur_perfur,p_digitais,p_process,p_espec,a_lateral,sismica,tempo_prof,dados_dire,teste_cabo,teste_form,canhoneio,testemunho,geoquimica,sig_sonda,nome_sonda,at_presal,creation_d,modificati,camada_id,geometry
151,1351609,9-RO-165D-RJS,Petrobras,Público,Especial,especial,Explotatório,74281029151,RJ,Campos,,RO,RONCADOR,M,24858,S,OBSERVAÇÃO,ABANDONADO PERMANENTEMENTE,11/01/2018,25/01/2018,03/02/2018,,,,,SIRGAS2000,Definitiva,Direcional,3420.9,3723,3723,MR,26,1821,1821,NM,,Campos,Ubatuba,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,Existe,,,,,NS-44,LAGUNA STAR,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7392 -21.885)
152,1356018,7-RO-149HA-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281027631,RJ,Campos,,RO,RONCADOR,M,24344,S,,FECHADO,25/05/2014,28/05/2014,28/05/2014,,,,,SIRGAS2000,Definitiva,Horizontal,3025.9,4130,4130,MR,24,1720,1720,NM,,Campos,Ubatuba,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,SS-80,SS Pantanal,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7625 -21.9483)
153,1356119,8-RO-146HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281027154,RJ,Campos,,RO,RONCADOR,M,24350,S,INJEÇÃO DE ÁGUA,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,02/07/2013,07/07/2013,07/07/2013,,,,,SIRGAS2000,Definitiva,Horizontal,3127,4550,4550,MR,24,1734,1734,NM,,Campos,Ubatuba,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,SS-81,NORBE VI,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7571 -21.9447)
154,1356120,7-RO-14-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810241500,RJ,Campos,RO,RO,RONCADOR,M,24257,N,PRODUTOR COMERCIAL DE PETRÓLEO,FECHADO,06/03/2000,10/05/2000,10/05/2000,,,,,SIRGAS2000,Definitiva,Vertical,0,3630,3630,MR,14,1861,1861,NM,,,,,,,,,Existe,Existe,Existe,,,,Existe,,,,,,,,NS-14,DISCOVER SEVEN SEAS,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7045 -21.9386)
155,1356121,7-RO-8-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,742810236600,RJ,Campos,RO,RO,RONCADOR,M,24263,N,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,25/06/1999,20/10/1999,20/10/1999,,,,,SIRGAS2000,Definitiva,Vertical,0,3657,0,MR,14,1877,1877,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,NS-14,DISCOVER SEVEN SEAS,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7003 -21.9441)
156,1356122,7-RO-25D-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281019238,RJ,Campos,RO,RO,RONCADOR,M,24297,S,PRODUTOR COMERCIAL DE PETRÓLEO,FECHADO,05/02/2001,18/03/2001,18/03/2001,,,,,SIRGAS2000,Definitiva,Direcional,0,3750,3750,MR,24,1843,1843,NM,,,,,,,,,,,Existe,,,,,,Existe,,,,,,SS-51,LOUSIANA,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7216 -21.9504)
157,1356173,8-RO-27HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281020490,RJ,Campos,RO,RO,RONCADOR,M,24251,S,INJEÇÃO DE ÁGUA,INJETANDO,18/05/2003,27/05/2003,16/03/2004,,,,,SIRGAS2000,Definitiva,Horizontal,0,0,0,MR,27,1848,1848,NM,,,,,,Existe,,,,,Existe,,,,,,Existe,,,,,,P-23,PETROBRAS  XXIII,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7182 -21.9728)
158,1356323,8-RO-81HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281022766,RJ,Campos,RO,RO,RONCADOR,M,24392,S,INJEÇÃO DE ÁGUA,FECHADO,07/01/2008,20/01/2008,08/03/2008,,,,,SIRGAS2000,Definitiva,Horizontal,2099,0,4322,MR,25,1583,1583,NM,,,,,Existe,Existe,,,,Existe,,,,,,,Existe,,,,,,SS-51,LOUSIANA,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7859 -21.9761)
159,1356324,7-RO-72HPB-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281023602,RJ,Campos,RO,RO,RONCADOR,M,25766,S,PRODUTOR COMERCIAL DE PETRÓLEO,EM INTERVENÇÃO,04/01/2009,06/01/2009,15/02/2009,,,,,SIRGAS2000,Definitiva,Horizontal,3011.55,3477,3477,MR,24,1508,1508,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,SS-51,LOUSIANA,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.8072 -21.9683)
160,1356325,7-RO-124HA-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281025995,RJ,Campos,,RO,RONCADOR,M,24314,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,12/01/2012,18/11/2012,18/11/2012,,,,,SIRGAS2000,Definitiva,Horizontal,3000.5,4053,4053,MR,24,1790,1790,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,SS-49,SEDCO 707,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7475 -21.9696)
